rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_of_country_road_through_forest__USA_vert.jpg,Aerial_view_of_country_road_through_forest__USA_vert.jpg,afternoon,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
afternoon\Aerial_view_of_Diamond_Head__Honolulu__Oahu__Hawaii__USA_horiz.jpg,Aerial_view_of_Diamond_Head__Honolulu__Oahu__Hawaii__USA_horiz.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_view_of_Espraiado_Canyon_in_Urubici__Santa_Catarina__Brazil_horiz.jpg,Aerial_view_of_Espraiado_Canyon_in_Urubici__Santa_Catarina__Brazil_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_fairy_circles_in_the_Namib_Naukluft_National_Park__Namibia_horiz.jpg,Aerial_view_of_fairy_circles_in_the_Namib_Naukluft_National_Park__Namibia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Glass_Window_Bridge__North_Eleuthera__Bahamas_vert.jpg,Aerial_view_of_Glass_Window_Bridge__North_Eleuthera__Bahamas_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_great_landscape__glass_fields_at_Huixian_Town__Guilin__China_horiz.jpg,Aerial_view_of_great_landscape__glass_fields_at_Huixian_Town__Guilin__China_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_green_bridge_for_wildlife_cross_highway__Tossa_de_Mar__Girona_Catalonia__Spain_vert.jpg,Aerial_view_of_green_bridge_for_wildlife_cross_highway__Tossa_de_Mar__Girona_Catalonia__Spain_vert.jpg,afternoon,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
afternoon\Aerial_view_of_Henningsv_r_football_stadium_at_the_Atlantic_Ocean__Lofoten_Islands__Norway_vert.jpg,Aerial_view_of_Henningsv_r_football_stadium_at_the_Atlantic_Ocean__Lofoten_Islands__Norway_vert.jpg,afternoon,Lofoten Islands,,,Norway,lofoten islands,landmark,68.209,13.8456,EU,gazetteer,high
afternoon\Aerial_view_of_hindu_temple_ruins_of_Pura_Hulun_Danu_at_the_Tamblingan_lake__Bali__Indonesia_vert.jpg,Aerial_view_of_hindu_temple_ruins_of_Pura_Hulun_Danu_at_the_Tamblingan_lake__Bali__Indonesia_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Hong_Island__Phang_Nga_Bay__Krabi_province__Thailand_horiz.jpg,Aerial_view_of_Hong_Island__Phang_Nga_Bay__Krabi_province__Thailand_horiz.jpg,afternoon,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
afternoon\Aerial_view_of_Indian_Ocean_and_Le_Morne_Brabant_mountain__Tamarin__Black_River__Mauritius_horiz.jpg,Aerial_view_of_Indian_Ocean_and_Le_Morne_Brabant_mountain__Tamarin__Black_River__Mauritius_horiz.jpg,afternoon,,,,,,,,,,,
