rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
evening\First_Taste__sunset_at_Death_Valley_national_park__California__USA_horiz.jpg,First_Taste__sunset_at_Death_Valley_national_park__California__USA_horiz.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Fisherman__039_s_house_at_sunset__Adriatic_Sea__Italy_vert.jpg,Fisherman__039_s_house_at_sunset__Adriatic_Sea__Italy_vert.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Fitz_Roy_mountain_near_El_Chalt_n_at_sunset__Patagonia_between_Argentina_and_Chile_horiz.jpg,Fitz_Roy_mountain_near_El_Chalt_n_at_sunset__Patagonia_between_Argentina_and_Chile_horiz.jpg,evening,,,,,,,,,,,
evening\Fly_Geyser_after_sunset__Black_Rock_Desert__Washoe_County__Nevada__USA_horiz.jpg,Fly_Geyser_after_sunset__Black_Rock_Desert__Washoe_County__Nevada__USA_horiz.jpg,evening,,,Nevada,USA,nevada,state,38.8026,-116.4194,NA,gazetteer,med
evening\Footpath_leading_towards_lighthouse_at_sea_shore_against_cloudy_sky_at_dusk__Brittany__France_vert.jpg,Footpath_leading_towards_lighthouse_at_sea_shore_against_cloudy_sky_at_dusk__Brittany__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Fresh_snow_and_pink_alpenglow_light_at_sunset_in_mountains__Colorado__USA_vert.jpg,Fresh_snow_and_pink_alpenglow_light_at_sunset_in_mountains__Colorado__USA_vert.jpg,evening,,,Colorado,USA,colorado,state,39.5501,-105.7821,NA,gazetteer,med
evening\Friends_running_with_fireworks_on_a_beach_after_sunset_horiz.jpg,Friends_running_with_fireworks_on_a_beach_after_sunset_horiz.jpg,evening,,,,,,,,,,,
evening\Frozen_dwarf_shrubs_in_snow_at_dusk__Riisitunturi_National_Park__Posio__Lapland__Finland_horiz.jpg,Frozen_dwarf_shrubs_in_snow_at_dusk__Riisitunturi_National_Park__Posio__Lapland__Finland_horiz.jpg,evening,,,,,,,,,,,
evening\Frozen_hell__sunset_over_J_kuls_rl_n_glacier_lagoon__Iceland_horiz.jpg,Frozen_hell__sunset_over_J_kuls_rl_n_glacier_lagoon__Iceland_horiz.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Frozen_lake_at_winter_sunset__Tampere__Finland_horiz.jpg,Frozen_lake_at_winter_sunset__Tampere__Finland_horiz.jpg,evening,,,,,,,,,,,
evening\Frozen_waterfall_icicles_at_night_with_stars__Matsumoto__Nagano__Japan_vert.jpg,Frozen_waterfall_icicles_at_night_with_stars__Matsumoto__Nagano__Japan_vert.jpg,evening,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
evening\Gal_pagos_view_at_sunset__Isabela_Island__Ecuador_vert.jpg,Gal_pagos_view_at_sunset__Isabela_Island__Ecuador_vert.jpg,evening,,,,,,,,,,,
evening\Gapstow_Bridge_in_Central_Park_in_Manhattan_after_a_snow_storm_at_dusk__New_York_City__USA_vert.jpg,Gapstow_Bridge_in_Central_Park_in_Manhattan_after_a_snow_storm_at_dusk__New_York_City__USA_vert.jpg,evening,,New York,,USA,new york,city,40.7128,-74.006,NA,gazetteer,high
evening\Garda_lake__Lago_di_Garda__during_a_sunset__Sirmione__Italy_horiz.jpg,Garda_lake__Lago_di_Garda__during_a_sunset__Sirmione__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Gardens_by_the_Bay_at_night__Singapore_horiz.jpg,Gardens_by_the_Bay_at_night__Singapore_horiz.jpg,evening,,,,,,,,,,,
evening\Gatklettur_arch_rock_at_sunset__Iceland_vert.jpg,Gatklettur_arch_rock_at_sunset__Iceland_vert.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Geothermal_eruption_of_Gullfoss_Geysir_after_sunset__Iceland_vert.jpg,Geothermal_eruption_of_Gullfoss_Geysir_after_sunset__Iceland_vert.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Giant__8217_s_Causeway_at_sunset__Bushmills__county_Antrim__Northern_Ireland__UK_horiz.jpg,Giant__8217_s_Causeway_at_sunset__Bushmills__county_Antrim__Northern_Ireland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\Gibson_Steps_and_the_Twelve_Apostoles_along_Great_Ocean_Road_at_sunset__Victoria__Australia_horiz.jpg,Gibson_Steps_and_the_Twelve_Apostoles_along_Great_Ocean_Road_at_sunset__Victoria__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Ginger_cat_standing_on_a_fence_at_sunset__Norfolk__England__UK_horiz.jpg,Ginger_cat_standing_on_a_fence_at_sunset__Norfolk__England__UK_horiz.jpg,evening,,,,,,,,,,,
evening\Golden_clouds_sunset_over_Drakensberg_mountain_above_the_valley__KwaZulu_Natal__South_Africa_vert.jpg,Golden_clouds_sunset_over_Drakensberg_mountain_above_the_valley__KwaZulu_Natal__South_Africa_vert.jpg,evening,,,,,,,,,,,
evening\Golden_evening_sun_over_Orta_san_Giulio_town_next_to_Orta_Lake__Lago_d__039_Orta___Lombardia__Italy_horiz.jpg,Golden_evening_sun_over_Orta_san_Giulio_town_next_to_Orta_Lake__Lago_d__039_Orta___Lombardia__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Golden_hour_sunset_landscape_on_the_lake__Montrouis__Haiti_vert.jpg,Golden_hour_sunset_landscape_on_the_lake__Montrouis__Haiti_vert.jpg,evening,,,,,,,,,,,
evening\Golden_Silhouette__sunset_on_lake_Garda__Torbole_sul_Garda__Italy_vert.jpg,Golden_Silhouette__sunset_on_lake_Garda__Torbole_sul_Garda__Italy_vert.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Golden_silky_Sahara_desert_sand_dunes_at_sunset__In_Amenas__Illizi__Algeria_horiz.jpg,Golden_silky_Sahara_desert_sand_dunes_at_sunset__In_Amenas__Illizi__Algeria_horiz.jpg,evening,,,,,,,,,,,
evening\Golden_sunset_over_the_savanna_in_Serengeti_National_Park__Tanzania_horiz.jpg,Golden_sunset_over_the_savanna_in_Serengeti_National_Park__Tanzania_horiz.jpg,evening,,,,,,,,,,,
evening\Grand_Canyon_desert_view_watchtower_at_night_with_Milky_Way__Arizona__USA_vert.jpg,Grand_Canyon_desert_view_watchtower_at_night_with_Milky_Way__Arizona__USA_vert.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Grand_Canyon_sunset_view_from_Navajo_Point_on_East_Rim_drive_near_Desert_View__Arizona__USA_horiz.jpg,Grand_Canyon_sunset_view_from_Navajo_Point_on_East_Rim_drive_near_Desert_View__Arizona__USA_horiz.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Grand_Central_Terminal_station_in_Midtown_Manhattan__New_York_City_at_night__USA_vert.jpg,Grand_Central_Terminal_station_in_Midtown_Manhattan__New_York_City_at_night__USA_vert.jpg,evening,,New York,,USA,new york,city,40.7128,-74.006,NA,gazetteer,high
evening\Great_Blue_Heron_catching_a_fish_on_a_Chesapeake_Bay_beach_at_sunset__Maryland__USA_horiz.jpg,Great_Blue_Heron_catching_a_fish_on_a_Chesapeake_Bay_beach_at_sunset__Maryland__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Great_Ocean_Road_at_night_under_Milky_Way__Victoria__Australia_horiz.jpg,Great_Ocean_Road_at_night_under_Milky_Way__Victoria__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Green_aurora_borealis_at_Polygonal_Lakes_at_night__Khibiny_mountains__Kola_Peninsula__Russia_horiz.jpg,Green_aurora_borealis_at_Polygonal_Lakes_at_night__Khibiny_mountains__Kola_Peninsula__Russia_horiz.jpg,evening,,,,,,,,,,,
evening\Green_kelp_covered_beach_at_Porte_d__039_Aval_at_dusk___tretat__Seine_Maritime__Normandy__France_vert.jpg,Green_kelp_covered_beach_at_Porte_d__039_Aval_at_dusk___tretat__Seine_Maritime__Normandy__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Green_mountain_sunset_with_sun_and_rainbow__Iceland_vert.jpg,Green_mountain_sunset_with_sun_and_rainbow__Iceland_vert.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Griffith_Park_Observatory_and_Los_Angeles_city_at_night__California__USA_vert.jpg,Griffith_Park_Observatory_and_Los_Angeles_city_at_night__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Group_of_llamas_walking_at_the_foot_of_Tunupa_volcano_at_sunset__Potosi__Bolivia_vert.jpg,Group_of_llamas_walking_at_the_foot_of_Tunupa_volcano_at_sunset__Potosi__Bolivia_vert.jpg,evening,,,,,,,,,,,
evening\Gusela_mountain_in_a_starry_night_with_clouds__Giau_Pass__Dolomites__Veneto__Italy_vert.jpg,Gusela_mountain_in_a_starry_night_with_clouds__Giau_Pass__Dolomites__Veneto__Italy_vert.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Hallett_Cove_park_boardwalk_at_sunset__South_Australia_vert.jpg,Hallett_Cove_park_boardwalk_at_sunset__South_Australia_vert.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Hangzhou_West_Lake_with_Jixian_Pavilion_at_sunset__China_horiz.jpg,Hangzhou_West_Lake_with_Jixian_Pavilion_at_sunset__China_horiz.jpg,evening,,,,,,,,,,,
evening\Harbour_Bridge_with_climbers_at_sunset__Sydney__Australia_horiz.jpg,Harbour_Bridge_with_climbers_at_sunset__Sydney__Australia_horiz.jpg,evening,,Sydney,,Australia,sydney,city,-33.8688,151.2093,OC,gazetteer,high
evening\Harvested_rice_fields_at_sunset_near_Yangshuo__Guangxi_Region_of_China_horiz.jpg,Harvested_rice_fields_at_sunset_near_Yangshuo__Guangxi_Region_of_China_horiz.jpg,evening,,,,,,,,,,,
evening\Havasu_Falls_before_sunset_view_from_above__Grand_Canyon__Supai__Arizona__USA_horiz.jpg,Havasu_Falls_before_sunset_view_from_above__Grand_Canyon__Supai__Arizona__USA_horiz.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Havasu_Falls_before_sunset__Supai__Grand_Canyon__Arizona__USA_vert.jpg,Havasu_Falls_before_sunset__Supai__Grand_Canyon__Arizona__USA_vert.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Hawa_Mahal_palace_in_night__Jaipur__Rajasthan__India_horiz.jpg,Hawa_Mahal_palace_in_night__Jaipur__Rajasthan__India_horiz.jpg,evening,,,,,,,,,,,
evening\Hayden_Valley_with_sunset_reflected_in_the_river_in_Yellowstone_National_Park__Wyoming__USA_vert.jpg,Hayden_Valley_with_sunset_reflected_in_the_river_in_Yellowstone_National_Park__Wyoming__USA_vert.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Ha_Long_Bay_at_sunset__Qu_ng_Ninh_province__Vietnam_horiz.jpg,Ha_Long_Bay_at_sunset__Qu_ng_Ninh_province__Vietnam_horiz.jpg,evening,,,,Vietnam,vietnam,country,14.0583,108.2772,AS,gazetteer,med
evening\Helf_t_n__Helfenstein__Helfstein__castle_aerial_view_at_sunset__Central_Moravia__Czech_Republic_horiz.jpg,Helf_t_n__Helfenstein__Helfstein__castle_aerial_view_at_sunset__Central_Moravia__Czech_Republic_horiz.jpg,evening,,,,,,,,,,,
evening\High_angle_view_of_a_lake_at_sunset__Lake_Tahoe__Sierra_Nevada__California__USA_vert.jpg,High_angle_view_of_a_lake_at_sunset__Lake_Tahoe__Sierra_Nevada__California__USA_vert.jpg,evening,,,Nevada,USA,nevada,state,38.8026,-116.4194,NA,gazetteer,med
evening\High_angle_view_of_illuminated_city_against_sky_at_night__Cologne__Germany_horiz.jpg,High_angle_view_of_illuminated_city_against_sky_at_night__Cologne__Germany_horiz.jpg,evening,,,,,,,,,,,
evening\High_angle_view_of_St_Abb__039_s_Head_Lighthouse_at_night__Eyemouth__Berwickshire__Scotland__UK_horiz.jpg,High_angle_view_of_St_Abb__039_s_Head_Lighthouse_at_night__Eyemouth__Berwickshire__Scotland__UK_horiz.jpg,evening,,,,,,,,,,,
evening\Hiking_in_Sedona_to_catch_the_sunset_at_Devils_Bridge__Arizona__USA_horiz.jpg,Hiking_in_Sedona_to_catch_the_sunset_at_Devils_Bridge__Arizona__USA_horiz.jpg,evening,,,Arizona,USA,arizona,state,34.0489,-111.0937,NA,gazetteer,med
evening\Hilly_trail_through_the_forest_at_sunset__Russia_horiz.jpg,Hilly_trail_through_the_forest_at_sunset__Russia_horiz.jpg,evening,,,,,,,,,,,
evening\Himalayas_mount_Everest_during_a_foggy_sunset_night__Sagarmatha_National_Park__Nepal_vert.jpg,Himalayas_mount_Everest_during_a_foggy_sunset_night__Sagarmatha_National_Park__Nepal_vert.jpg,evening,,,,,,,,,,,
evening\Historical_downtown_of_Ghent_during_sunset_twilight_blue_hour__Belgium_horiz.jpg,Historical_downtown_of_Ghent_during_sunset_twilight_blue_hour__Belgium_horiz.jpg,evening,,,,,,,,,,,
evening\Holiday_cottage_by_the_sea_in_the_evening_light__Sk_rhamn_on_the_Island_of_Tj_rn__Sweden_horiz.jpg,Holiday_cottage_by_the_sea_in_the_evening_light__Sk_rhamn_on_the_Island_of_Tj_rn__Sweden_horiz.jpg,evening,,,,,,,,,,,
evening\Hong_Kong_typhoon_shelter_at_night__Stonecutters_Island__Hong_Kong_horiz.jpg,Hong_Kong_typhoon_shelter_at_night__Stonecutters_Island__Hong_Kong_horiz.jpg,evening,,,,,,,,,,,
evening\Hoodoos_of_Bisti_Badlands_in_De_Na_Zin_Wilderness_at_sunset__New_Mexico__USA_horiz.jpg,Hoodoos_of_Bisti_Badlands_in_De_Na_Zin_Wilderness_at_sunset__New_Mexico__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Horse_running_at_sunset__Santa_Barbara_Beach__California__USA_vert.jpg,Horse_running_at_sunset__Santa_Barbara_Beach__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Hotel_facade_and_palm_tree_at_sunset_in_Cannes__France_horiz.jpg,Hotel_facade_and_palm_tree_at_sunset_in_Cannes__France_horiz.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Hot_air_balloons_flying_over_champagne_vineyards_at_sunset__Montagne_de_Reims__France_horiz.jpg,Hot_air_balloons_flying_over_champagne_vineyards_at_sunset__Montagne_de_Reims__France_horiz.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Hot_Air_Balloon_Festival_night_glow__Monore__Wisconsin__USA_vert.jpg,Hot_Air_Balloon_Festival_night_glow__Monore__Wisconsin__USA_vert.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Houses_and_churches_in_twilight_after_sunset__Oia__Santorini_Island__Cyclades__Greece_vert.jpg,Houses_and_churches_in_twilight_after_sunset__Oia__Santorini_Island__Cyclades__Greece_vert.jpg,evening,,,,Greece,greece,country,39.0742,21.8243,EU,gazetteer,med
evening\Humanoid_formations_at_Devil__039_s_Garden_near_Escalante_before_sunset__Utah__USA_horiz.jpg,Humanoid_formations_at_Devil__039_s_Garden_near_Escalante_before_sunset__Utah__USA_horiz.jpg,evening,,,Utah,USA,utah,state,39.321,-111.0937,NA,gazetteer,med
evening\Icebergs_melting_in_the_midsummer_night_at_J_kuls_rl_n__Iceland_horiz.jpg,Icebergs_melting_in_the_midsummer_night_at_J_kuls_rl_n__Iceland_horiz.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Ice_covered_sea_rocks_in_evening__Helsinki__Finland_horiz.jpg,Ice_covered_sea_rocks_in_evening__Helsinki__Finland_horiz.jpg,evening,,,,,,,,,,,
evening\Ice_on_Fire___Sunset_at_J_kuls_rl_n_Glacier_Lagoon__Iceland_horiz.jpg,Ice_on_Fire___Sunset_at_J_kuls_rl_n_Glacier_Lagoon__Iceland_horiz.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Illuminated_Christmas_tree_with_sleigh_in_front_of_alpine_hut_at_dusk__Flachau__Salzburg_Country__Austria_horiz.jpg,Illuminated_Christmas_tree_with_sleigh_in_front_of_alpine_hut_at_dusk__Flachau__Salzburg_Country__Austria_horiz.jpg,evening,,,,,,,,,,,
evening\Illuminated_Church_of_Our_Lady_before_T_n_in_Prague_on_a_Christmas_evening__Czech_Republic_horiz.jpg,Illuminated_Church_of_Our_Lady_before_T_n_in_Prague_on_a_Christmas_evening__Czech_Republic_horiz.jpg,evening,,,,,,,,,,,
evening\Illuminated_Ferenc_Pusk_s_Stadium_in_Budapest_at_dusk__Hungary_horiz.jpg,Illuminated_Ferenc_Pusk_s_Stadium_in_Budapest_at_dusk__Hungary_horiz.jpg,evening,,,,,,,,,,,
evening\Illuminated_footbridge_at_night__Venice__Italy_horiz.jpg,Illuminated_footbridge_at_night__Venice__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Illuminated_L_nge_Jan_lighthouse_at_dusk__south_cape_of__land_island__Sweden_horiz.jpg,Illuminated_L_nge_Jan_lighthouse_at_dusk__south_cape_of__land_island__Sweden_horiz.jpg,evening,,,,,,,,,,,
evening\Illuminated_Palace_of_Fine_Arts_during_the_blue_hour_at_sunset__San_Francisco__California__USA_vert.jpg,Illuminated_Palace_of_Fine_Arts_during_the_blue_hour_at_sunset__San_Francisco__California__USA_vert.jpg,evening,,San Francisco,California,USA,san francisco,city,37.7749,-122.4194,NA,gazetteer,high
evening\Illuminated_Shirakawa_g__traditional_village_at_winter_dusk__Gifu__Japan_vert.jpg,Illuminated_Shirakawa_g__traditional_village_at_winter_dusk__Gifu__Japan_vert.jpg,evening,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
evening\International_Finance_Centre_aerial_view_at_sunset__Hong_Kong_Island_horiz.jpg,International_Finance_Centre_aerial_view_at_sunset__Hong_Kong_Island_horiz.jpg,evening,,,,,,,,,,,
evening\Jal_Mahal__Water_Palace__on_Man_Sagar_Lake_in_the_evening_twilight__Jaipur__Rajasthan__India_horiz.jpg,Jal_Mahal__Water_Palace__on_Man_Sagar_Lake_in_the_evening_twilight__Jaipur__Rajasthan__India_horiz.jpg,evening,,,,,,,,,,,
evening\Joshua_trees_at_sunset__Joshua_Tree_National_Park__California__USA_horiz.jpg,Joshua_trees_at_sunset__Joshua_Tree_National_Park__California__USA_horiz.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Joshua_tree_national_park_at_sunset__California__USA_horiz.jpg,Joshua_tree_national_park_at_sunset__California__USA_horiz.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\J_kuls_rl_n_Diamonds__volcanic_black_beach_after_sunset__Iceland_horiz.jpg,J_kuls_rl_n_Diamonds__volcanic_black_beach_after_sunset__Iceland_horiz.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Karumba_Point_beach_at_sunset__North_Queensland__Australia_horiz.jpg,Karumba_Point_beach_at_sunset__North_Queensland__Australia_horiz.jpg,evening,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
evening\Kayakers_on_the_coast_at_sunset__Firth_of_Clyde__Greenock__Scotland__UK_vert.jpg,Kayakers_on_the_coast_at_sunset__Firth_of_Clyde__Greenock__Scotland__UK_vert.jpg,evening,,,,,,,,,,,
evening\Keizersgracht_Canal_at_dusk__Amsterdam__Netherlands_horiz.jpg,Keizersgracht_Canal_at_dusk__Amsterdam__Netherlands_horiz.jpg,evening,,Amsterdam,,,amsterdam,city,52.3676,4.9041,EU,gazetteer,high
evening\Kermorvan_lighthouse_at_sunset__Le_Conquet__Finist_re__Brittany__France_horiz.jpg,Kermorvan_lighthouse_at_sunset__Le_Conquet__Finist_re__Brittany__France_horiz.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Kicker_Rock_formation__Leon_Dormido__at_sunset__San_Cristobal_Island__Galapagos__Ecuador_horiz.jpg,Kicker_Rock_formation__Leon_Dormido__at_sunset__San_Cristobal_Island__Galapagos__Ecuador_horiz.jpg,evening,,,,,,,,,,,
evening\Kilchurn_Castle_at_Loch_Awe_at_sunset_in_Argyll_and_Bute__Scotland_highlands__UK_vert.jpg,Kilchurn_Castle_at_Loch_Awe_at_sunset_in_Argyll_and_Bute__Scotland_highlands__UK_vert.jpg,evening,,,,,,,,,,,
evening\Kufstein_Old_Town_with_medieval_fortress_on_a_rock_over_the_Inn_river_at_sunset__Austria_horiz.jpg,Kufstein_Old_Town_with_medieval_fortress_on_a_rock_over_the_Inn_river_at_sunset__Austria_horiz.jpg,evening,,,,,,,,,,,
evening\Lake_Lago_Pehoe_and_Cuernos_del_Paine__sunset_in_Torres_del_Paine_National_Park__Chile_horiz.jpg,Lake_Lago_Pehoe_and_Cuernos_del_Paine__sunset_in_Torres_del_Paine_National_Park__Chile_horiz.jpg,evening,,,,,,,,,,,
evening\Lake_Pehoe_and_the_Cordillera_del_Paine_at_sunset__Torres_del_Paine__Chile_vert.jpg,Lake_Pehoe_and_the_Cordillera_del_Paine_at_sunset__Torres_del_Paine__Chile_vert.jpg,evening,,,,,,,,,,,
evening\Lake_Superior_at_winter_dusk__Thunder_Bay__Ontario__Canada_horiz.jpg,Lake_Superior_at_winter_dusk__Thunder_Bay__Ontario__Canada_horiz.jpg,evening,,,,,,,,,,,
evening\Lake_Superior_near_Munising_sea_cave_sunset__Pictured_Rocks_National_Lakeshore__Michigan__USA_horiz.jpg,Lake_Superior_near_Munising_sea_cave_sunset__Pictured_Rocks_National_Lakeshore__Michigan__USA_horiz.jpg,evening,,,Michigan,USA,michigan,state,44.3148,-85.6024,NA,gazetteer,med
evening\Lake_Tahoe_in_purple_sunset__Sierra_Nevada__USA_vert.jpg,Lake_Tahoe_in_purple_sunset__Sierra_Nevada__USA_vert.jpg,evening,,,Nevada,USA,nevada,state,38.8026,-116.4194,NA,gazetteer,med
evening\Lalu_with_stars_and_Milky_Way_at_summer_night__Sa_Kaeo_province__Grand_Canyon_of_Thailand_horiz.jpg,Lalu_with_stars_and_Milky_Way_at_summer_night__Sa_Kaeo_province__Grand_Canyon_of_Thailand_horiz.jpg,evening,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
evening\Landscape_aerial_panorama_with_mountains_and_coast_at_sunset__scenic_road_in_Iceland_vert.jpg,Landscape_aerial_panorama_with_mountains_and_coast_at_sunset__scenic_road_in_Iceland_vert.jpg,evening,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
evening\Landscape_at_sunset_in_Deogyusan_National_Park_in_winter__South_Korea_horiz.jpg,Landscape_at_sunset_in_Deogyusan_National_Park_in_winter__South_Korea_horiz.jpg,evening,,,,,,,,,,,
evening\Landscape_of_South_Africa_with_warm_sunset__Kruger_National_Park_vert.jpg,Landscape_of_South_Africa_with_warm_sunset__Kruger_National_Park_vert.jpg,evening,,,,,,,,,,,
evening\Landscape_of_tropical_island_beach_during_sunset_at_Koh_Chang_Island__Thailand_horiz.jpg,Landscape_of_tropical_island_beach_during_sunset_at_Koh_Chang_Island__Thailand_horiz.jpg,evening,,,,Thailand,thailand,country,15.87,100.9925,AS,gazetteer,med
evening\Landscape_with_a_sunset_sky_and_white_flowers_on_the_rocks_in_the_spring__Dobrogea__Romania_horiz.jpg,Landscape_with_a_sunset_sky_and_white_flowers_on_the_rocks_in_the_spring__Dobrogea__Romania_horiz.jpg,evening,,,,,,,,,,,
evening\Landscape_with_poppies_in_Val_d__039_Orcia_at_sunset__Tuscany__Italy_horiz.jpg,Landscape_with_poppies_in_Val_d__039_Orcia_at_sunset__Tuscany__Italy_horiz.jpg,evening,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
evening\Las_Vegas_Strip_view_from_a_distance_during_sunset__Nevada__USA_horiz.jpg,Las_Vegas_Strip_view_from_a_distance_during_sunset__Nevada__USA_horiz.jpg,evening,,,Nevada,USA,nevada,state,38.8026,-116.4194,NA,gazetteer,med
evening\Laurel_forest_under_scenic_sunset__Madeira__Portugal_horiz.jpg,Laurel_forest_under_scenic_sunset__Madeira__Portugal_horiz.jpg,evening,,,,Portugal,portugal,country,39.3999,-8.2245,EU,gazetteer,med
evening\Lavender_field_at_sunset__Provence_Alpes_C_te_d__039_Azur__France_vert.jpg,Lavender_field_at_sunset__Provence_Alpes_C_te_d__039_Azur__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\La_Almudena_Cathedral_and_the_Royal_Palace_in_the_evening__Madrid__Spain_vert.jpg,La_Almudena_Cathedral_and_the_Royal_Palace_in_the_evening__Madrid__Spain_vert.jpg,evening,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
evening\Leonard_P__Zakim_Bunker_Hill_Memorial_Bridge_at_sunset__Boston__Massachusetts__USA_horiz.jpg,Leonard_P__Zakim_Bunker_Hill_Memorial_Bridge_at_sunset__Boston__Massachusetts__USA_horiz.jpg,evening,,,,USA,usa,country,39.8283,-98.5795,NA,gazetteer,med
evening\Les_calanches_de_Piana_at_sunset__Corsica__France_vert.jpg,Les_calanches_de_Piana_at_sunset__Corsica__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Le_Mont_Saint_Michel_at_dusk__Normandy__France_vert.jpg,Le_Mont_Saint_Michel_at_dusk__Normandy__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Le_Mont_Saint_Michel_tidal_island_in_twilight_at_dusk__Normandy__France_vert.jpg,Le_Mont_Saint_Michel_tidal_island_in_twilight_at_dusk__Normandy__France_vert.jpg,evening,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
evening\Lifeguard_sunsets__Venice_Beach__California__USA_vert.jpg,Lifeguard_sunsets__Venice_Beach__California__USA_vert.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Lifeguard_tower_with_palm_trees_on_a_beach_at_sunset__San_Diego__California__USA_horiz.jpg,Lifeguard_tower_with_palm_trees_on_a_beach_at_sunset__San_Diego__California__USA_horiz.jpg,evening,,,California,USA,california,state,36.7783,-119.4179,NA,gazetteer,med
evening\Lighthouse_by_sea_against_sky_at_sunset__Landsort___ja_island__Stockholm_archipelago__Sweden_horiz.jpg,Lighthouse_by_sea_against_sky_at_sunset__Landsort___ja_island__Stockholm_archipelago__Sweden_horiz.jpg,evening,,,,,,,,,,,
evening\Lighthouse_of_Cap_de_Formentor_around_sunset__Mallorca__Pollen_a__Balearic_Islands__Spain_horiz.jpg,Lighthouse_of_Cap_de_Formentor_around_sunset__Mallorca__Pollen_a__Balearic_Islands__Spain_horiz.jpg,evening,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
